2021-12-15 01:12:481 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 01:12:490 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 01:12:577 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Colombia
2021-12-15 01:12:706 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:744 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 01:12:755 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 01:12:766 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 01:12:779 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 01:12:948 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:998 INFO  FamilyImmigrationStatusPage :37 - Selecting immigration status[[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //label[normalize-space()='Yes']]
2021-12-15 01:12:131 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (341d24654f6bc5ad0a669479ca6d198d)] -> xpath: //button[normalize-space()='Continue']]
